Parameter,minimum,maximum
Energy_AR,0.00E+00,0.00E+00
Energy_BC,0,0
Energy_BECCS,0,0
Energy_DACCS,47,100
Energy_DOCCS,25,83
Energy_EW,0.7,125
Energy_OA,7,68
Energy_SCS,0,0
EnergyL,2030,2045
Land_AR,7,9
Land_BC,0,0
Land_BECCS,4,17
Land_DACCS,0.0001,0.0058
Land_DOCCS,0,0
Land_EW,0,0
Land_OA,0,0
Land_SCS,0,0
LandL,1600000000,1800000000
LR_AR,-23,1
LR_BC,-5,10
LR_BECCS,-15,15
LR_DACCS,5,23
LR_DOCCS,5,23
LR_EW,-5,5
LR_OA,-5,10
LR_SCS,-23,-1
NERequired,4.50E+11,1.10E+12
OPEX_AR,50,50
OPEX_BC,120,120
OPEX_BECCS,105,105
OPEX_DACCS,40,40
OPEX_DOCCS,900,900
OPEX_EW,130,130
OPEX_OA,115,115
OPEX_SCS,35,35
SCref_AR,100,100
SCref_BC,580,580
SCref_BECCS,570,570
SCref_DACCS,2000,2000
SCref_DOCCS,2000,2000
SCref_EW,295,295
SCref_OA,465,465
SCref_SCS,0,0
Ymax_AR,1300000000,6300000000
Ymax_BC,300000000,6600000000
Ymax_BECCS,700000000,12600000000
Ymax_DACCS,5000000000,20000000000
Ymax_DOCCS,1000000000,4000000000
Ymax_EW,3000000000,4000000000
Ymax_OA,1000000000,15000000000
Ymax_SCS,600000000,2500000000
Yref_AR,198000000,198000000
Yref_BC,500000,500000
Yref_BECCS,1820000,1820000
Yref_DACCS,10000,10000
Yref_DOCCS,1,1
Yref_EW,1.00E+00,1.00E+00
Yref_OA,1,1
Yref_SCS,1,1
Xmax_AR,80000000,80000000
Xmax_BC,500000000,500000000
Xmax_BECCS,500000000,500000000
Xmax_DACCS,500000000,500000000
Xmax_DOCCS,500000000,500000000
Xmax_EW,1000000000,1000000000
Xmax_OA,1000000000,1000000000
Xmax_SCS,1000000000,1000000000
